Model,Standardize,Normalize,PCA,F1-Stratified,F1,Runtime
LogisticRegression,True,False,15,0.9822658834329882,0.9788362536795174,0.21085375547409058
LogisticRegression,True,False,False,0.9822658834329882,0.9769856543304661,0.25447479883829754
LogisticRegression,True,True,False,0.9805682022690405,0.9805839468095783,0.19076405763626098
LogisticRegression,True,True,15,0.9805651998910618,0.9805727114098718,0.17898232142130535
SVC,True,True,15,0.9770564279612373,0.9788067410915595,16.57333895365397
SVC,True,False,False,0.9769906224449305,0.97331458198058,14.601275344689688
SVC,True,False,15,0.9753561545919867,0.9804575303186347,13.809112977981567
AdaBoostClassifier,True,False,15,0.9753301516707487,0.973376603356567,7.9833927869796755
AdaBoostClassifier,True,False,False,0.975077238961282,0.9822341324003662,12.376949187119802
AdaBoostClassifier,True,True,False,0.9734185514102047,0.9736013285428284,12.309463834762573
RandomForestClassifier,True,False,False,0.971656588136835,0.9646814254137743,515.5935302297274
SVC,True,True,False,0.9700302339088566,0.9735035113294094,19.984804483254752
neuralnetwork,True,False,15,0.9688874069667543,0.9673556479830991,5.428934212525686
KNeighborsClassifier,True,True,15,0.9680020754384434,0.9663747509603979,8.652660103638967
KNeighborsClassifier,True,False,False,0.9677569416823157,0.9680072758945718,10.24258154630661
KNeighborsClassifier,True,False,15,0.9677569416823157,0.9662616933000928,8.653524430592855
neuralnetwork,True,False,False,0.9668987489528834,0.9643122920008348,5.278209288914998
neuralnetwork,True,True,False,0.9665885563920419,0.9681959382767851,5.248625894387563
neuralnetwork,True,True,15,0.9647823951272229,0.9717129592473437,5.785016111532847
KNeighborsClassifier,True,True,False,0.9645343174399362,0.9662336496319549,10.39245777130127
AdaBoostClassifier,True,True,15,0.9626780711049588,0.9662330469351547,9.030767476558685
RandomForestClassifier,True,False,15,0.9611949046171628,0.9576353755864582,393.0221023956935
RandomForestClassifier,True,True,False,0.955659528956774,0.9646676024536627,520.202581846714
RandomForestClassifier,True,True,15,0.9499333658851676,0.9517059146715531,404.8365050315857
neuralnetwork,False,True,5,0.8939672621971474,0.8935002339996193,5.5621109247207645
neuralnetwork,False,True,False,0.8835063786787926,0.8798091087055435,5.470446228981018
